SUM|BRK|BB|4,807.0000|$64,991.43|$56,065.57|-$6,085.64|$2,840.22
SUM|BRK|BMBL|1,882.0000|$68,764.46|$67,174.77|-$1,589.69|
BRK|MGI|12/06/2021|09/21/2020|Sell|12,245.0000|$35,755.37|$85,648.23|$49,892.86
BRK|MGI|12/06/2021|11/09/2021|Sell|2,000.0000|$15,397.98|$13,989.10|-$1,408.88
BRK|MGI|12/06/2021|11/09/2021|Sell|1,942.0000|$14,951.43|$13,566.99|-$1,384.44
BRK|MGI|12/06/2021|11/09/2021|Sell|2,564.0000|$20,264.31|$17,912.33|-$2,351.98
BRK|MGI|12/06/2021|11/09/2021|Sell|1,282.0000|$10,095.79|$8,956.17|-$1,139.62
BRK|MGI|12/06/2021|11/09/2021|Sell|3,581.0000|$25,346.43|$25,017.18|-$329.25
BRK|MGI|12/06/2021|11/09/2021|Sell|2,954.0000|$20,264.23|$20,636.91|$372.68
BRK|MGI|12/06/2021|11/09/2021|Sell|1,347.0000|$9,109.80|$9,410.26|$300.46
BRK|MGI|12/06/2021|11/09/2021|Sell|575.0000|$3,752.25|$4,017.00|$264.75
BRK|MGI|12/06/2021|11/09/2021|Sell|7,857.0000|$51,272.09|$54,968.65|$3,696.56
BRK|MGI|12/06/2021|11/09/2021|Sell|4,858.0000|$31,701.64|$34,394.46|$2,692.82
BRK|MGI|12/06/2021|11/15/2021|Sell|12,081.0000|$84,307.10|$84,878.33|$571.23
BRK|MGI|12/06/2021|11/15/2021|Sell|2,000.0000|$14,288.88|$14,159.93|-$128.95
BRK|MGI|12/06/2021|11/15/2021|Sell|1,942.0000|$13,890.92|$13,749.29|-$141.63
BRK|MGI|12/06/2021|11/15/2021|Sell|2,564.0000|$18,864.14|$18,153.03|-$711.11
BRK|MGI|12/06/2021|11/15/2021|Sell|1,282.0000|$9,395.70|$9,076.51|-$319.19
BRK|MGI|12/06/2021|11/15/2021|Sell|1,458.0000|$9,523.57|$10,322.59|$799.02
BRK|MGI|12/06/2021|11/15/2021|Sell|2,123.0000|$13,867.32|$14,915.71|$1,048.39
BRK|MGI|12/06/2021|11/16/2021|Sell|4,940.0000|$36,576.93|$34,030.79|-$2,546.14
BRK|MGI|12/06/2021|11/16/2021|Sell|1,796.0000|$13,807.67|$12,372.33|-$1,435.34
BRK|MGI|12/06/2021|11/18/2021|Sell|2,340.0000|$17,573.37|$16,119.85|-$1,453.52
BRK|MGI|12/06/2021|11/18/2021|Sell|516.0000|$3,849.36|$3,554.63|-$294.73
BRK|MGI|12/06/2021|11/18/2021|Sell|2,144.0000|$16,697.87|$14,769.64|-$1,928.23
BRK|MGI|12/06/2021|11/18/2021|Sell|9,265.0000|$69,901.37|$64,632.06|-$5,269.31
BRK|MGI|12/06/2021|11/18/2021|Sell|941.0000|$7,099.53|$6,482.38|-$617.15
BRK|MGI|12/06/2021|11/18/2021|Sell|1,794.0000|$18,525.04|$12,358.55|-$6,166.49
BRK|MGI|12/06/2021|11/19/2021|Sell|1,232.0000|$12,762.94|$8,594.35|-$4,168.59
BRK|MGI|12/06/2021|11/19/2021|Sell|887.0000|$9,125.27|$6,187.66|-$2,937.61
BRK|MGI|12/06/2021|11/19/2021|Sell|124.0000|$1,095.27|$865.02|-$230.25
BRK|MGI|12/06/2021|11/19/2021|Sell|2,757.0000|$19,050.51|$19,232.65|$182.14
BRK|MGI|12/07/2021|11/15/2021|Sell|999.0000|$6,433.56|$7,116.48|$682.92
BRK|MGI|12/07/2021|11/15/2021|Sell|1,101.0000|$7,683.31|$7,843.09|$159.78
BRK|MGI|12/07/2021|11/15/2021|Sell|3,184.0000|$21,802.32|$22,681.57|$879.25
BRK|MGI|12/07/2021|11/15/2021|Sell|9,265.0000|$64,935.91|$66,000.24|$1,064.33
