SUM|BRK|ABCL|222,347.0000|$910,556.47|$845,856.98|-$37,597.33|$27,102.16
BRK|IMMX|01/12/2026|11/06/2025|Sell|1.0000|$3.06|$4.46|$1.40
BRK|IMMX|01/12/2026|11/07/2025|Sell|490.0000|$1,528.80|$2,180.55|$651.75
BRK|IMMX|01/12/2026|11/11/2025|Sell|3,700.0000|$11,976.00|$16,909.00|$4,933.00
BRK|IMMX|01/13/2026|10/21/2025|Sell|4,729.0000|$14,406.70|$20,289.47|$5,882.77
BRK|IMMX|01/13/2026|11/06/2025|Sell|20,271.0000|$62,025.21|$86,971.42|$24,946.21
BRK|IMMX|01/26/2026|01/15/2026|Sell|18,796.0000|$93,980.00|$99,618.80|$5,638.80
BRK|IMMX|02/04/2026|01/15/2026|Sell|1,204.0000|$6,020.00|$7,320.32|$1,300.32
BRK|IMMX|02/04/2026|01/21/2026|Sell|5,000.0000|$24,150.00|$30,361.00|$6,211.00
BRK|IMMX|02/04/2026|01/21/2026|Sell|4,796.0000|$23,164.68|$29,159.68|$5,995.00
BRK|IMMX|02/04/2026|01/21/2026|Sell|6,000.0000|$28,980.00|$36,301.20|$7,321.20
BRK|IMMX|02/05/2026|01/21/2026|Sell|5,000.0000|$24,150.00|$31,534.79|$7,384.79
BRK|IMMX|02/06/2026|01/21/2026|Sell|8,000.0000|$38,713.76|$50,800.00|$12,086.24
BRK|IMMX|02/09/2026|01/20/2026|Sell|8,850.0000|$41,769.64|$59,755.31|$17,985.67
BRK|IMMX|02/09/2026|01/21/2026|Sell|8,666.0000|$41,936.69|$57,846.61|$15,909.92
BRK|IMMX|02/09/2026|01/21/2026|Sell|1,150.0000|$5,554.50|$7,764.81|$2,210.31
BRK|IMMX|02/10/2026|01/20/2026|Sell|8,000.0000|$37,757.87|$54,083.50|$16,325.63
BRK|IMMX|02/11/2026|01/20/2026|Sell|10,000.0000|$47,197.33|$65,727.38|$18,530.05
BRK|IMMX|03/13/2026|01/14/2026|Sell|950.0000|$4,570.75|$9,462.00|$4,891.25
BRK|IMMX|03/13/2026|01/16/2026|Sell|100.0000|$467.00|$996.00|$529.00
BRK|IMMX|03/13/2026|01/20/2026|Sell|2,811.0000|$13,267.17|$27,997.56|$14,730.39
BRK|IMMX|03/18/2026|10/16/2025|Sell|10,000.0000|$27,277.91|$94,925.66|$67,647.75
BRK|IMMX|03/18/2026|10/21/2025|Sell|10,000.0000|$30,464.59|$99,364.38|$68,899.79
BRK|IMMX|03/18/2026|10/21/2025|Sell|1,466.0000|$4,466.11|$13,912.34|$9,446.23
BRK|IMMX|03/18/2026|10/22/2025|Sell|8,534.0000|$25,755.00|$80,987.66|$55,232.66
BRK|IMMX|03/18/2026|10/22/2025|Sell|10,000.0000|$30,179.28|$94,993.78|$64,814.50
BRK|IMMX|03/19/2026|10/22/2025|Sell|20,000.0000|$60,358.57|$184,005.67|$123,647.10
BRK|IMMX|03/19/2026|10/22/2025|Sell|20,000.0000|$60,358.57|$182,800.00|$122,441.43
BRK|IMMX|03/19/2026|10/22/2025|Sell|10,000.0000|$30,179.28|$96,800.00|$66,620.72
BRK|IMMX|03/19/2026|10/22/2025|Sell|10,000.0000|$30,179.28|$94,959.57|$64,780.29
BRK|IMMX|03/20/2026|10/16/2025|Sell|10,000.0000|$27,277.92|$90,500.00|$63,222.08
BRK|IMMX|03/20/2026|10/16/2025|Sell|10,000.0000|$27,277.91|$92,700.00|$65,422.09
BRK|IMMX|06/02/2026|05/26/2026|Sell|8,000.0000|$72,807.08|$73,598.48|$791.40
BRK|IMMX|06/03/2026|05/26/2026|Sell|6,968.0000|$63,414.97|$59,786.30|-$3,628.67
BRK|IREN|06/11/2026|05/26/2026|Sell|2,400.0000|$145,320.00|$125,805.41|-$19,514.59
BRK|IREN|06/17/2026|05/26/2026|Sell|1,000.0000|$60,550.00|$58,518.79|-$2,031.21
BRK|LLY|02/18/2026|02/17/2026|Sell|50.0000|$52,565.25|$50,741.00|-$1,824.25
BRK|MAIA|02/11/2026|02/10/2026|Sell|44,000.0000|$84,446.56|$76,120.00|-$8,326.56
BRK|MAIA|03/23/2026|02/10/2026|Sell|6,000.0000|$11,515.44|$8,850.00|-$2,665.44
BRK|MRAM|01/13/2026|01/13/2026|Sell|3,100.0000|$38,285.00|$38,102.72|-$182.28
BRK|MRAM|01/14/2026|01/13/2026|Sell|3,100.0000|$38,285.00|$36,223.50|-$2,061.50
BRK|MRAM|05/07/2026|05/06/2026|Sell|7,000.0000|$138,638.04|$144,843.78|$6,205.74
BRK|MRAM|05/20/2026|05/06/2026|Sell|4,000.0000|$79,221.74|$120,919.21|$41,697.47
BRK|MRAM|06/03/2026|05/06/2026|Sell|693.0000|$13,725.17|$20,034.22|$6,309.05
BRK|MRAM|06/22/2026|05/06/2026|Sell|3,301.0000|$65,377.74|$93,416.38|$28,038.64
BRK|MRAM|06/23/2026|05/06/2026|Sell|6.0000|$118.83|$141.36|$22.53
BRK|MU|05/07/2026|05/05/2026|Sell|800.0000|$507,461.19|$515,989.37|$8,528.18
BRK|MU|05/20/2026|05/04/2026|Sell|654.0000|$374,568.73|$470,663.83|$96,095.10
BRK|MU|05/20/2026|05/04/2026|Sell|421.0000|$241,095.18|$302,980.84|$61,885.66
BRK|MU|05/20/2026|05/05/2026|Sell|925.0000|$585,403.82|$665,694.25|$80,290.43
BRK|MU|05/20/2026|05/05/2026|Sell|325.0000|$205,682.42|$234,975.24|$29,292.82
BRK|MU|05/20/2026|05/05/2026|Sell|800.0000|$507,461.19|$569,646.57|$62,185.38
BRK|MU|05/20/2026|05/05/2026|Sell|154.0000|$97,686.28|$111,342.12|$13,655.84
BRK|MU|06/29/2026|06/23/2026|Sell|183.0000|$200,086.71|$205,954.94|$5,868.23
BRK|MU|07/07/2026|07/02/2026|Sell|200.0000|$210,056.36|$184,303.48|-$25,752.88
BRK|NAT|03/18/2026|03/06/2026|Sell|2,560.0000|$14,387.20|$13,967.36|-$419.84
BRK|NAT|03/18/2026|03/06/2026|Sell|32,440.0000|$182,960.96|$176,992.64|-$5,968.32
BRK|NAT|03/25/2026|03/06/2026|Sell|51,407.0000|$289,934.47|$288,393.27|-$1,541.20
BRK|NAT|03/25/2026|03/06/2026|Sell|2,560.0000|$14,858.19|$14,361.60|-$496.59
BRK|NAT|03/25/2026|03/23/2026|Sell|13,593.0000|$73,535.92|$76,256.73|$2,720.81
BRK|NAT|03/25/2026|03/23/2026|Sell|32,440.0000|$181,463.45|$181,988.40|$524.95
BRK|NAT|03/25/2026|03/23/2026|Sell|35,000.0000|$188,993.29|$195,650.00|$6,656.71
BRK|NAT|03/25/2026|03/23/2026|Sell|2,560.0000|$14,345.78|$14,310.40|-$35.38
BRK|NAT|03/25/2026|03/23/2026|Sell|1,407.0000|$7,653.82|$7,865.13|$211.31
BRK|NAT|03/25/2026|03/23/2026|Sell|50,000.0000|$271,489.44|$279,500.00|$8,010.56
BRK|NAT|03/25/2026|03/24/2026|Sell|2,730.2350|$15,124.39|$15,262.01|$137.62
BRK|NOK|05/20/2026|05/13/2026|Sell|14,366.0000|$211,608.64|$193,124.22|-$18,484.42
BRK|NOK|05/20/2026|05/13/2026|Sell|6,000.0000|$88,378.94|$80,938.33|-$7,440.61
BRK|NOK|05/20/2026|05/13/2026|Sell|4,000.0000|$64,026.71|$53,958.89|-$10,067.82
BRK|SLV|02/02/2026|01/23/2026 Noncovered|Sell|914.0000|$83,023.19|$66,316.41|-$16,706.78
BRK|SMXT|01/20/2026|01/15/2026|Sell|100,000.0000|$101,000.00|$85,005.05|-$15,994.95
BRK|SMXT|02/09/2026|01/15/2026|Sell|50,000.0000|$58,997.48|$40,704.55|-$18,292.93
BRK|SMXT|02/09/2026|01/27/2026|Sell|7,491.0000|$7,340.05|$6,098.35|-$1,241.70
BRK|SMXT|02/09/2026|01/27/2026|Sell|34,254.0000|$35,127.71|$27,885.87|-$7,241.84
BRK|SMXT|02/09/2026|01/27/2026|Sell|8,255.0000|$8,703.65|$6,720.32|-$1,983.33
BRK|SMXT|02/09/2026|01/27/2026|Sell|7,025.0000|$8,853.32|$5,555.69|-$3,297.63
BRK|SMXT|02/09/2026|01/27/2026|Sell|500.0000|$630.13|$395.00|-$235.13
BRK|SMXT|02/10/2026|01/27/2026|Sell|25,547.0000|$32,195.83|$19,688.95|-$12,506.88
BRK|SMXT|02/10/2026|01/28/2026|Sell|4,786.0000|$6,046.11|$3,688.55|-$2,357.56
BRK|SMXT|02/11/2026|01/28/2026|Sell|12,142.0000|$15,338.87|$8,745.57|-$6,593.30
BRK|SMXT|02/11/2026|01/28/2026|Sell|7,491.0000|$7,964.36|$5,395.57|-$2,568.79
BRK|SMXT|02/11/2026|01/28/2026|Sell|22,243.0000|$24,664.11|$16,021.05|-$8,643.06
BRK|SMXT|02/11/2026|01/28/2026|Sell|12,011.0000|$13,349.22|$8,651.21|-$4,698.01
BRK|SMXT|02/11/2026|01/28/2026|Sell|8,255.0000|$9,412.83|$5,945.86|-$3,466.97
BRK|SMXT|02/11/2026|01/28/2026|Sell|7,025.0000|$9,620.13|$5,059.92|-$4,560.21
BRK|SMXT|02/11/2026|01/28/2026|Sell|500.0000|$685.13|$360.14|-$324.99
BRK|SMXT|02/11/2026|01/28/2026|Sell|298.0000|$414.09|$214.64|-$199.45
BRK|SMXT|02/11/2026|01/29/2026|Sell|25,249.0000|$35,967.50|$18,186.19|-$17,781.31
BRK|SMXT|02/11/2026|01/29/2026|Sell|676.0000|$965.02|$486.91|-$478.11
BRK|SMXT|03/24/2026|01/29/2026|Sell|2,171.0000|$3,099.19|$1,568.29|-$1,530.90
BRK|SMXT|03/24/2026|01/29/2026|Sell|1,939.0000|$2,768.01|$1,358.34|-$1,409.67
BRK|SMXT|03/24/2026|01/29/2026|Sell|12,142.0000|$17,945.45|$8,771.15|-$9,174.30
BRK|SMXT|03/24/2026|01/29/2026|Sell|1,371.0000|$1,751.95|$960.44|-$791.51
BRK|SMXT|03/24/2026|01/29/2026|Sell|6,120.0000|$7,851.45|$4,287.29|-$3,564.16
BRK|SMXT|03/24/2026|01/29/2026|Sell|22,243.0000|$29,551.48|$15,582.04|-$13,969.44
BRK|SMXT|03/24/2026|01/29/2026|Sell|298.0000|$479.57|$208.76|-$270.81
BRK|SMXT|03/24/2026|01/29/2026|Sell|7,025.0000|$11,163.71|$4,921.27|-$6,242.44
BRK|SMXT|03/24/2026|01/29/2026|Sell|500.0000|$794.99|$350.27|-$444.72
BRK|SMXT|03/24/2026|01/29/2026|Sell|12,011.0000|$15,988.35|$8,414.15|-$7,574.20
BRK|SMXT|03/24/2026|01/29/2026|Sell|8,255.0000|$11,226.67|$5,782.93|-$5,443.74
BRK|SMXT|03/24/2026|01/29/2026|Sell|5,782.0000|$9,506.99|$4,050.50|-$5,456.49
BRK|SMXT|03/24/2026|01/30/2026|Sell|27,109.0000|$24,877.11|$18,990.86|-$5,886.25
BRK|SMXT|03/24/2026|01/30/2026|Sell|12,776.0000|$11,753.92|$8,950.06|-$2,803.86
BRK|SMXT|03/24/2026|01/30/2026|Sell|19,467.0000|$31,573.67|$13,637.35|-$17,936.32
BRK|SMXT|03/24/2026|01/30/2026|Sell|676.0000|$1,098.45|$473.56|-$624.89
BRK|SMXT|08/13/2026|06/30/2026|Cash-In-Lieu|0.5000|$2.04|$2.19|$0.15
BRK|SNAP|01/28/2026|01/27/2026|Sell|13,106.0000|$97,747.81|$99,933.25|$2,185.44
